Year,Month,Region,MonthlyRevenue
2024,1,"North America",8308.76
2024,1,Asia,3369.67
2024,1,Europe,2869.89
2024,2,Asia,4278.68
2024,2,"North America",3322.79
2024,2,Europe,3201.90
2024,3,Europe,5476.91
2024,3,"North America",4752.73
2024,3,Asia,2619.60
2024,4,"North America",6930.76
2024,4,Asia,3329.60
2024,4,Europe,2191.33
2024,5,"North America",4348.83
2024,5,Europe,2117.12
2024,5,Asia,1989.54
2024,6,"North America",3749.79
2024,6,Asia,1945.38
2024,6,Europe,1689.38
2024,7,Asia,2744.36
2024,7,"North America",2170.85
2024,7,Europe,1881.87
2024,8,"North America",3259.83
2024,8,Asia,2178.62
2024,8,Europe,1839.66
